date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:54	39174/39174	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:52%20GMT	http://vietlott.vn/vi/choi/mega-6-45/thong-ke-so-trung	D:/private/webclone/vietlott/vietlott.vn/vi/choi/mega-6-45/thong-ke-so-trung.html	(from http://vietlott.vn/)
15:12:55	31188/31188	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:53%20GMT	http://vietlott.vn/vi/choi/diem-ban-hang	D:/private/webclone/vietlott/vietlott.vn/vi/choi/diem-ban-hang.html	(from http://vietlott.vn/)
15:12:56	36726/36726	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:54%20GMT	http://vietlott.vn/vi/choi/max4d/gioi-thieu-san-pham-max4d	D:/private/webclone/vietlott/vietlott.vn/vi/choi/max4d/gioi-thieu-san-pham-max4d.html	(from http://vietlott.vn/)
15:12:57	32460/32460	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:54%20GMT	http://vietlott.vn/vi/choi/max4d/cach-choi	D:/private/webclone/vietlott/vietlott.vn/vi/choi/max4d/cach-choi.html	(from http://vietlott.vn/)
15:12:58	31555/31555	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:56%20GMT	http://vietlott.vn/vi/choi/max4d/thong-ke-so-trung	D:/private/webclone/vietlott/vietlott.vn/vi/choi/max4d/thong-ke-so-trung.html	(from http://vietlott.vn/)
15:12:59	65356/65356	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:57%20GMT	http://vietlott.vn/vi/choi/power-6-55/gioi-thieu-san-pham-power-655	D:/private/webclone/vietlott/vietlott.vn/vi/choi/power-6-55/gioi-thieu-san-pham-power-655.html	(from http://vietlott.vn/)
15:13:00	38436/38436	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:58%20GMT	http://vietlott.vn/vi/choi/power-6-55/cach-choi	D:/private/webclone/vietlott/vietlott.vn/vi/choi/power-6-55/cach-choi.html	(from http://vietlott.vn/)
15:13:01	41271/41271	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:59%20GMT	http://vietlott.vn/vi/choi/power-6-55/thong-ke-so-trung	D:/private/webclone/vietlott/vietlott.vn/vi/choi/power-6-55/thong-ke-so-trung.html	(from http://vietlott.vn/)
15:13:02	33486/33486	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:00%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645.html	(from http://vietlott.vn/)
15:13:03	39007/39007	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:02%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d.html	(from http://vietlott.vn/)
